WorkItemType,StoryID,EpicID,Epic,NewOrExisting,Priority,Release,Phase,Title,AcceptanceOutcome,Dependencies,Risk,Traceability,Status
User Story,US-001,E01,E01 - Product foundation and ALM,Existing,P0,V1,Phase 0 — ALM & solution scaffold,"As a solution administrator, I want to install CCSB as a managed solution with required roles and environment settings so that the product is governed through standard ALM.",Import validates required components; roles are installed; version is visible; unsupported dependencies fail clearly.,None,Managed-solution dependency/import drift,FR-ALM-001; NFR-ALM-001,Not Started
User Story,US-004,E01,E01 - Product foundation and ALM,New — added by task-level design,P0,V1,Phase 0 — Data foundation,"As a solution architect, I want CCSB's physical Dataverse data model, keys, relationships, ownership, lifecycle and retention controls implemented so that the product has a supportable, upgrade-safe data foundation.","The managed solution contains documented ccsb_* tables, relationships, keys, choice/status lifecycles, security/ownership design, migration/seed strategy and validation for the optional native schedule graph.",US-001,Incorrect physical model or destructive schema evolution,DM §6; FR-GPH-001; FR-CFG-002/003; FR-ALM-001; NFR-MNT-001; NFR-ALM-002,Not Started
User Story,US-002,E01,E01 - Product foundation and ALM,Existing,P0,V1,Phase 0 — Compatibility contract,"As a release manager, I want configuration schema and product compatibility checks so that incompatible configurations do not activate after an upgrade.",Validation detects incompatible schema; activation is blocked; diagnostics identify migration action.,US-004,Configuration becomes incompatible after upgrade,FR-CFG-007; NFR-ALM-002,Not Started
User Story,US-003,E01,E01 - Product foundation and ALM,Existing,P1,V1,Phase 0 — Tenant/board boundary,"As a product owner, I want an environment-level board registry so that each Dataverse environment is an isolated CCSB tenant.",Board keys unique per environment; no cross-environment lookup/administration path exists.,"US-004, US-070",Board/tenant isolation or permission leakage,Scope; DM,Not Started
User Story,US-010,E02,E02 - Board configuration and runtime projection,Existing,P0,V1,Phase 1 — Configuration foundation,"As a board administrator, I want to create and clone board versions so that configuration changes do not alter an active board unexpectedly.",Active version cannot be edited; clone begins as Draft; compare shows changes.,"US-004, US-002",Active configuration is mutated or lifecycle bypassed,FR-CFG-001; FR-CFG-008,Not Started
User Story,US-011,E02,E02 - Board configuration and runtime projection,Existing,P0,V1,Phase 1 — Configuration foundation,"As a board administrator, I want to map Booking, Activity, Assignment and Resource entities so that CCSB can use customer-owned Dataverse data.",Metadata selectors validate tables/relationships; missing mandatory mapping blocks activation.,"US-004, US-010",Unsupported customer schema creates bespoke implementation,FR-CFG-003; FR-GPH-001,Not Started
User Story,US-012,E02,E02 - Board configuration and runtime projection,Existing,P0,V1,Phase 1 — Configuration foundation,"As a board administrator, I want to map write and rollback-managed fields separately so that CCSB changes only approved scheduling data.",Write and rollback flags independently stored; rollback cannot affect unmapped/unmanaged fields.,US-011,Rollback overwrites non-managed customer data,FR-CFG-003; FR-RBK-002,Not Started
User Story,US-013,E02,E02 - Board configuration and runtime projection,Existing,P1,V1,Phase 1 — Configuration foundation,"As a board administrator, I want generated read-only runtime projection JSON so that runtime loading is efficient without creating a second editable configuration source.",Projection source hash/version created after validation; manual JSON edit is not offered; stale projection blocks runtime.,"US-010, US-011, US-012, US-002",Stale projection causes runtime/configuration mismatch,FR-CFG-002; DM,Not Started
User Story,US-014,E02,E02 - Board configuration and runtime projection,New — PCF controls backlog addendum,P0,V1,Phase 1 — Configuration experience,"As a Configuration Administrator, I want a guided Planora Configuration Studio PCF so that I can create, edit, validate, preview, version and activate Schedule Board configurations without manually maintaining interdependent ccsb_* records.","A Configuration Administrator can author draft versions through metadata-aware screens; active versions remain immutable; configuration validation, projection generation and activation use governed APIs; model-driven forms remain the support and low-level administration fallback.","US-010, US-011, US-012, US-013, US-020, US-021, US-022, US-070, US-071","Configuration PCF duplicates or bypasses the authoritative configuration lifecycle, metadata validation or security boundary",FR-CFG-001..010; FR-SEC-001/002; FR-API-001; NFR-UX-001/002; NFR-MNT-001; NFR-ALM-001,Not Started
User Story,US-020,E03,"E03 - Resource, grouping and capacity configuration",Existing,P0,V1,Phase 1 — Grouping/capacity foundation,"As a board administrator, I want to define one to five resource grouping levels so that dispatchers can view the operating hierarchy.","Direct field, lookup path and governed resolver options; levels are ordered; fallback label supported.","US-004, US-011",Grouping complexity or unsafe resolver behavior,FR-CFG-004; FR-GRP-001,Not Started
