StoryID,EpicID,Priority,Title,CurrentStatus,RecommendedStatus,CompletedTasks,InProgressTasks,NotStartedTasks,Reason
US-001,E01,P0,"As a solution administrator, I want to install CCSB as a managed solution with required roles and environment settings so that the product is governed through standard ALM.",Not Started,Not Started,0,0,7,No direct dbmodel evidence moves this story.
US-004,E01,P0,"As a solution architect, I want CCSB's physical Dataverse data model, keys, relationships, ownership, lifecycle and retention controls implemented so that the product has a supportable, upgrade-safe data foundation.",Not Started,In Progress,0,8,2,"dbmodel evidence supports 0 completed and 8 in-progress child tasks, but remaining tasks are not complete."
US-002,E01,P0,"As a release manager, I want configuration schema and product compatibility checks so that incompatible configurations do not activate after an upgrade.",Not Started,In Progress,0,4,2,"dbmodel evidence supports 0 completed and 4 in-progress child tasks, but remaining tasks are not complete."
US-003,E01,P1,"As a product owner, I want an environment-level board registry so that each Dataverse environment is an isolated CCSB tenant.",Not Started,In Progress,0,2,4,"dbmodel evidence supports 0 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-010,E02,P0,"As a board administrator, I want to create and clone board versions so that configuration changes do not alter an active board unexpectedly.",Not Started,In Progress,0,3,3,"dbmodel evidence supports 0 completed and 3 in-progress child tasks, but remaining tasks are not complete."
US-011,E02,P0,"As a board administrator, I want to map Booking, Activity, Assignment and Resource entities so that CCSB can use customer-owned Dataverse data.",Not Started,In Progress,0,3,4,"dbmodel evidence supports 0 completed and 3 in-progress child tasks, but remaining tasks are not complete."
US-012,E02,P0,"As a board administrator, I want to map write and rollback-managed fields separately so that CCSB changes only approved scheduling data.",Not Started,In Progress,0,2,4,"dbmodel evidence supports 0 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-013,E02,P1,"As a board administrator, I want generated read-only runtime projection JSON so that runtime loading is efficient without creating a second editable configuration source.",Not Started,In Progress,1,3,2,"dbmodel evidence supports 1 completed and 3 in-progress child tasks, but remaining tasks are not complete."
US-020,E03,P0,"As a board administrator, I want to define one to five resource grouping levels so that dispatchers can view the operating hierarchy.",Not Started,In Progress,1,2,4,"dbmodel evidence supports 1 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-021,E03,P1,"As a board administrator, I want each resource to resolve to one stable group path so that events and capacity do not duplicate across branches.",Not Started,In Progress,1,2,3,"dbmodel evidence supports 1 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-022,E03,P0,"As a board administrator, I want named resource roles and requirements so that group bookings can demand the right people, vehicles, rooms or equipment.",Not Started,In Progress,0,2,5,"dbmodel evidence supports 0 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-030,E04,P0,"As a scheduler, I want to select a permitted board and date range so that I can work in the correct operational context.",Not Started,In Progress,0,3,4,"dbmodel evidence supports 0 completed and 3 in-progress child tasks, but remaining tasks are not complete."
US-031,E04,P0,"As a scheduler, I want a virtualised group/resource timeline with server paging so that large schedules remain usable.",Not Started,In Progress,0,1,6,"dbmodel evidence supports 0 completed and 1 in-progress child tasks, but remaining tasks are not complete."
US-032,E04,P1,"As a scheduler, I want search, filters and saved non-sensitive preferences so that I can repeatedly focus on my work.",Not Started,Not Started,0,0,7,No direct dbmodel evidence moves this story.
US-033,E04,P1,"As a scheduler, I want overlays for availability, leave, work hours and holidays so that I can make safe scheduling choices.",Not Started,In Progress,0,2,4,"dbmodel evidence supports 0 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-040,E05,P0,"As a scheduler, I want to create or edit a booking/activity with its own time so that I can schedule the actual work rather than only a parent record.",Not Started,In Progress,0,2,5,"dbmodel evidence supports 0 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-041,E05,P0,"As a scheduler, I want to assign one or more resources to an activity with roles so that group work is represented accurately.",Not Started,In Progress,0,2,5,"dbmodel evidence supports 0 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-042,E05,P0,"As a scheduler, I want to move, resize and reassign activities/assignments so that schedule changes are controlled and explained.",Not Started,In Progress,0,2,5,"dbmodel evidence supports 0 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-043,E05,P1,"As a scheduler, I want an assignment time override when the board permits it so that a resource can be scheduled for a portion of the activity.",Not Started,In Progress,0,2,4,"dbmodel evidence supports 0 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-044,E05,P1,"As a scheduler, I want distinct booking, activity and assignment status transitions so that operational state is accurate at the right level.",Not Started,In Progress,1,2,3,"dbmodel evidence supports 1 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-050,E06,P0,"As a scheduler, I want required versus allocated quantity/capacity for an activity so that I can see whether group work is complete.",Not Started,In Progress,1,1,4,"dbmodel evidence supports 1 completed and 1 in-progress child tasks, but remaining tasks are not complete."
US-051,E06,P0,"As a scheduler, I want blocking and warning conflicts explained before commit so that I can decide safely.",Not Started,In Progress,0,2,5,"dbmodel evidence supports 0 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-052,E06,P1,"As a scheduler, I want a conflict workbench so that I can triage unresolved issues without losing timeline context.",Not Started,In Progress,0,1,5,"dbmodel evidence supports 0 completed and 1 in-progress child tasks, but remaining tasks are not complete."
US-053,E06,P1,"As a scheduler, I want an unscheduled/partial workbench so that I can fill unassigned activities and incomplete requirements.",Not Started,In Progress,0,1,5,"dbmodel evidence supports 0 completed and 1 in-progress child tasks, but remaining tasks are not complete."
US-060,E07,P0,"As a publish manager, I want to preview the resolved publish scope and blockers so that I do not publish an unsafe schedule.",Not Started,In Progress,0,2,4,"dbmodel evidence supports 0 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-061,E07,P0,"As a publish manager, I want a successful publish to create immutable snapshots and locks so that official schedules are protected.",Not Started,In Progress,0,3,3,"dbmodel evidence supports 0 completed and 3 in-progress child tasks, but remaining tasks are not complete."
US-062,E07,P0,"As a publish manager, I want governed rollback to a compatible prior snapshot so that I can recover the published schedule without overwriting unrelated data.",Not Started,In Progress,0,2,4,"dbmodel evidence supports 0 completed and 2 in-progress child tasks, but remaining tasks are not complete."
US-063,E07,P1,"As a scheduler, I want lock state and pending-change state visible so that I understand why a change is blocked or not yet official.",Not Started,In Progress,0,1,4,"dbmodel evidence supports 0 completed and 1 in-progress child tasks, but remaining tasks are not complete."
US-070,E08,P0,"As a security administrator, I want CCSB action permissions layered below Dataverse access so that the product does not overgrant customer data.",Not Started,In Progress,1,1,4,"dbmodel evidence supports 1 completed and 1 in-progress child tasks, but remaining tasks are not complete."
