TaskID,ParentStoryID,EpicID,Priority,Phase,TaskCategory,Title,CurrentStatus,RecommendedStatus,EvidenceLevel,Evidence,RemainingCondition
US-001-T01,US-001,E01,P0,Phase 0 — ALM & solution scaffold,Deployment,Create managed-solution baseline,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-001-T02,US-001,E01,P0,Phase 0 — ALM & solution scaffold,Technical,Define component dependency manifest,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-001-T03,US-001,E01,P0,Phase 0 — ALM & solution scaffold,Data,Provision environment configuration,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-001-T04,US-001,E01,P0,Phase 0 — ALM & solution scaffold,UX,Provide install verification surface,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-001-T05,US-001,E01,P0,Phase 0 — ALM & solution scaffold,Validation,Implement preflight import checks,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-001-T06,US-001,E01,P0,Phase 0 — ALM & solution scaffold,Testing,Automate clean-environment install tests,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-001-T07,US-001,E01,P0,Phase 0 — ALM & solution scaffold,Documentation,Publish installation and rollback runbook,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
US-004-T01,US-004,E01,P0,Phase 0 — Data foundation,Data,Produce physical schema specification,Not Started,In Progress,Partial dbmodel schema evidence,"Physical schema exists with 39 custom ccsb_* tables, field types, requiredness, choices, lookup fields, ownership and form-location metadata.","Do not mark complete yet: V1 gaps remain for publish lock, snapshot item, schedule change, outbox/audit, activity/capability decisions, audit enablement and approval baseline."
US-004-T02,US-004,E01,P0,Phase 0 — Data foundation,Data,Implement product-owned configuration tables,Not Started,In Progress,Partial dbmodel schema evidence,"Product-owned configuration tables exist for board/version, entity-field-relationship mapping, groups, status, roles, rules, permissions, runtime projection and validation results.",Do not mark complete yet: baseline forms/views are not release-ready and some solution/export/import evidence is still missing.
US-004-T03,US-004,E01,P0,Phase 0 — Data foundation,Data,"Implement control, audit and publish tables",Not Started,In Progress,Partial dbmodel schema evidence,"Control/publish foundations exist: ccsb_operation, ccsb_operationitem, ccsb_conflict and ccsb_publishsnapshot.","Missing required V1 control tables or equivalents: publish lock, publish snapshot item, schedule change ledger, audit log/operation audit and outbox event."
US-004-T04,US-004,E01,P0,Phase 0 — Data foundation,Data,Implement optional native schedule graph,Not Started,In Progress,Partial dbmodel schema evidence,"Native schedule graph foundations exist: schedule item, assignment, requirement, resource, role, service, location, calendar, availability, leave, shift and holiday tables.",Still incomplete: no separate ccsb_scheduleactivity or ccsb_resourcecapability table/equivalent approval is recorded.
US-004-T05,US-004,E01,P0,Phase 0 — Data foundation,Data,"Define keys, relationships and lifecycle values",Not Started,In Progress,Partial dbmodel schema evidence,"Lifecycle and lookup fields are modeled across board, board version, schedule version, publish snapshot, status and relationship tables.","Still needs enforceable alternate keys, uniqueness/cascade policy, retention and automated schema tests."
US-004-T06,US-004,E01,P0,Phase 0 — Data foundation,Security,Define ownership and access model,Not Started,In Progress,Partial dbmodel schema evidence,Entity ownership choices and permission profile/assignment tables are modeled.,"Still needs a signed security matrix, field-security design and negative role tests. Entity-level auditing is disabled across the workbook."
US-004-T07,US-004,E01,P0,Phase 0 — Data foundation,Performance,Review query and indexing shapes,Not Started,In Progress,Partial dbmodel schema evidence,"Query-supporting fields exist for board/version, source entity/record, resource, date ranges, publish state, scope, status and hashes.",Still needs an approved query/indexing plan and performance validation.
US-004-T08,US-004,E01,P0,Phase 0 — Data foundation,Validation,Create schema validation and compatibility checks,Not Started,In Progress,Partial dbmodel schema evidence,"Validation support exists through ccsb_configurationvalidationresult, validation status fields and operation/operation item evidence tables.",Still needs live metadata validation implementation and compatibility checks.
US-004-T09,US-004,E01,P0,Phase 0 — Data foundation,Testing,Build data factory and integrity test suite,Not Started,Not Started,No direct dbmodel evidence,The current database model does not directly complete or materially start this task.,"Requires runtime code, UX work, tests, ALM evidence, documentation, commercial work, or a missing schema decision outside the current dbmodel evidence."
