EntityLogicalName,EntityDisplayName,FieldLogicalName,FieldDisplayName,Type,Required,Constraints,Purpose,Security
ccsb_resourcecapability,Resource Capability,ccsb_resourcecapabilityid,Resource Capability,Uniqueidentifier,System,Primary ID; generated by Dataverse.,Unique row identifier.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_name,Resource Capability Name,Primary Name,Yes,Max 300.,Human-readable capability label.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_capabilitykey,Capability Key,Text,Yes,Max 200; alternate key; sanitized for Dataverse upsert.,Stable capability identity within CCSB.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_resourceid,Resource,Lookup,Runtime required,Target ccsb_resource; metadata optional for migration safety.,Resource holding the capability.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_boardversionid,Board Version,Lookup,No,Target ccsb_boardversion.,Configuration version that governs this capability mapping.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_resourceroleid,Resource Role,Lookup,No,Target ccsb_resourcerole.,Role that this capability satisfies or qualifies.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_capabilitytype,Capability Type,Choice,Yes,"Skill, Certification, License, Clearance, Equipment Feature, Facility Feature, Territory, Category, Other.",Classifies the capability.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_capabilitysource,Capability Source,Choice,Yes,"Native CCSB, Field Service, Project Operations, Customer Source, External.",Records the source system or mapping origin.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_externalkey,External Key,Text,No,Max 200.,Stable source-system key when synchronized.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_sourcetablelogicalname,Source Table Logical Name,Text,No,Max 128.,"Logical name of the originating Dataverse table, such as bookableresourcecharacteristic.",Standard
ccsb_resourcecapability,Resource Capability,ccsb_sourcerecordid,Source Record ID,Text,No,Max 100; GUID string when Dataverse sourced.,Source record identifier without hard dependency on optional Field Service tables.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_proficiencymodel,Proficiency Model,Text,No,Max 100.,Name/code of the rating model used by the source.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_proficiencyvalue,Proficiency Value,Decimal,No,Precision 2.,Comparable numeric capability score.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_proficiencylabel,Proficiency Label,Text,No,Max 100.,Display label for proficiency or certification level.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_capacityunits,Capacity Units,Decimal,No,Precision 2.,Capability-specific capacity contribution where applicable.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_effectivefrom,Effective From,Date and Time,No,User local; stored UTC.,Start of capability validity.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_effectiveto,Effective To,Date and Time,No,User local; stored UTC.,End of capability validity.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_verificationstatus,Verification Status,Choice,Yes,"Not Verified, Verified, Expired, Revoked, Not Required.",Controls whether the capability may satisfy strict requirements.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_verifiedon,Verified On,Date and Time,No,User local; stored UTC.,Timestamp of verification.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_verifiedby,Verified By,Lookup,No,Target systemuser.,User who verified the capability.,Standard
ccsb_resourcecapability,Resource Capability,ccsb_isactive,Active,Boolean,Yes,Default Yes.,Excludes inactive capabilities from eligibility.,Standard
